id,sex,race,region,born,hhsize,adults,age,agekdbrn,sibs,dwelling,wrkstat,degree,educ,paeduc,maeduc,speduc,happy,marital,hapmar,agemar,satjob,postlife,health,class,sei,pasei,masei,spsei,rincome,income,polviews,natroad,natmass,natsci,natchld,sexornt,newsfrom,intecon,inteduc,intspace,intintl,intmil,intenvir,helpful,cantrust,conmedic,coneduc,confinan,intrhome,tvhours
1,MALE,OTHER,NORTH,YES,2,1,49,20,0,APARTMENT-4 STORIES,OTHER,PRIMARY/HIGH SCHOOL,12,12,12,1,NOT TOO HAPPY,WIDOWED,,18,,NO,,MIDDLE CLASS,28.4,28.4,33.1,41,,$7000 TO 7999,LIBERAL,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,VERY INTERESTED,LOOKOUT FOR SELF,ALWYS NOT TRUSTED,ONLY SOME,HARDLY ANY,HARDLY ANY,YES,8
2,MALE,OTHER,NORTH,NO,1,1,48,33,1,APARTMENT-4 STORIES,WORKING FULLTIME,GRADUATE,20,19,12,19,PRETTY HAPPY,MARRIED,NOT TOO HAPPY,32,MOD. SATISFIED,NO,EXCELLENT,WORKING CLASS,76.4,62,27.5,63.2,$25000 OR MORE,$25000 OR MORE,MODERATE,TOO LITTLE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,VERY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,VERY INTERESTED,VERY INTERESTED,,,,,,YES,1
3,MALE,BLACK,NORTH,YES,2,2,47,22,1,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,13,16,16,14,PRETTY HAPPY,MARRIED,VERY HAPPY,22,MOD. SATISFIED,NO,,WORKING CLASS,37.8,66,38,58,$25000 OR MORE,$25000 OR MORE,MODERATE,TOO LITTLE,ABOUT RIGHT,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,ONLY SOME,ONLY SOME,NO,2
4,MALE,BLACK,NORTH,YES,3,3,32,26,2,APARTMENT-COMMERCIAL,"UNEMPL, LAID OFF",PRIMARY/HIGH SCHOOL,10,17,12,3,NOT TOO HAPPY,DIVORCED,,25,VERY SATISFIED,YES,GOOD,WORKING CLASS,35.1,72,37.7,63,$15000 - 19999,$25000 OR MORE,MODERATE,ABOUT RIGHT,TOO LITTLE,ABOUT RIGHT,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,HELPFUL,ALWAYS TRUSTED,HARDLY ANY,ONLY SOME,HARDLY ANY,,0
5,FEMALE,BLACK,NORTH,NO,3,1,37,32,2,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,12,12,9,PRETTY HAPPY,SEPARATED,,26,MOD. SATISFIED,NO,GOOD,WORKING CLASS,29.3,34.3,25.5,94,$25000 OR MORE,$25000 OR MORE,LIBERAL,ABOUT RIGHT,ABOUT RIGHT,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,VERY INTERESTED,VERY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,MODERATELY INTERESTED,VERY INTERESTED,,,,,,YES,4
6,MALE,BLACK,NORTH,YES,2,2,72,25,3,ROW HOUSE,RETIRED,BACHELOR,16,12,12,16,VERY HAPPY,MARRIED,PRETTY HAPPY,19,,YES,,MIDDLE CLASS,87.9,36.4,46,78.5,,,MODERATE,TOO LITTLE,,ABOUT RIGHT,TOO LITTLE,,NEWSPAPERS,VERY INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,MODERATELY INTERESTED,LOOKOUT FOR SELF,USUAL NOT TRUSTED,ONLY SOME,HARDLY ANY,HARDLY ANY,NO,2
7,MALE,BLACK,NORTH,NO,5,4,21,58,2,3-4 FAM HOUSE,WORKING PARTTIME,PRIMARY/HIGH SCHOOL,12,16,16,1,PRETTY HAPPY,NEVER MARRIED,,17,A LITTLE DISSAT,YES,EXCELLENT,UPPER CLASS,33.1,28.6,29.3,27,,,SLIGHTLY LIBERAL,TOO LITTLE,TOO LITTLE,TOO MUCH,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,HELPFUL,ALWYS NOT TRUSTED,A GREAT DEAL,A GREAT DEAL,HARDLY ANY,,7
8,FEMALE,BLACK,NORTH,NO,5,3,36,21,6,ROW HOUSE,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,12,18,12,11,VERY HAPPY,NEVER MARRIED,,61,VERY SATISFIED,YES,,LOWER CLASS,76.4,37.3,90,29,,,SLIGHTLY LIBERAL,ABOUT RIGHT,TOO MUCH,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,TV,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,LOOKOUT FOR SELF,USUALLY TRUSTED,ONLY SOME,ONLY SOME,A GREAT DEAL,NO,2
9,FEMALE,BLACK,NORTH,NO,1,1,77,27,3,APARTMENT-4 STORIES,WORKING FULLTIME,PRIMARY/HIGH SCHOOL,14,8,8,10,NOT TOO HAPPY,WIDOWED,,26,MOD. SATISFIED,YES,GOOD,WORKING CLASS,80.9,37.3,44,84,,,LIBERAL,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,NEWSPAPERS,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,NOT AT ALL INTERESTED,,,,,,NO,2
10,FEMALE,BLACK,NORTH,NO,1,1,56,20,12,APARTMENT-4 STORIES,OTHER,LESS THAN PRIMARY/HIGH SCHOOL,9,11,9,18,NOT TOO HAPPY,DIVORCED,,27,,YES,FAIR,WORKING CLASS,36.5,72,31,60,,,MODERATE,TOO LITTLE,TOO LITTLE,TOO LITTLE,TOO LITTLE,HETEROSEXUAL OR STRAIGHT,,,,,,,,DEPENDS,USUAL NOT TRUSTED,ONLY SOME,A GREAT DEAL,,,17
